Number,Item_Number,Item,Scale,Authors,Source of Rating,Primer,Factor,Remember_total,ARI_Study1_Avg_Remember%,FYP_Likert_Avg_Remember%,FYP_Binary_Avg_Remember%,"Hansbrough et al., 2015 Table 1 & 5",ARI_360_Manager_Remember%,ARI_Self_report_Remember%,Response Scale Format,Variable,Pos_Neg,AC_Binary,AC_Binary_Note,PS,PS_Note,Low_EV,High_EV,Starts_I,I_or_Me
26,2,My supervisor would defend me to others in the organization if I made an honest mistake,LMX-MDM,,Follower,,,0.29,0.29,,,,,,1 - Strongly Disagree; 7 - Strongly Agree,,,,,,,,,,
27,3,My supervisor is the kind of person one would like to have as a friend,LMX-MDM,,Follower,,,0.26,0.26,,,,,,1 - Strongly Disagree; 7 - Strongly Agree,,,,,,,,,,
28,4,I do not mind working my hardest for my supervisor,LMX-MDM,,Follower,,,0.29,0.29,,,,,,1 - Strongly Disagree; 7 - Strongly Agree,,,,,,,,,,
29,5,My supervisor would come to my defense if I were ÒattackedÓ by others,LMX-MDM,,Follower,,,0.34,0.34,,,,,,1 - Strongly Disagree; 7 - Strongly Agree,,,,,,,,,,
30,6,I like my supervisor very much as a person,LMX-MDM,,Follower,,,0.31,0.31,,,,,,"1 - Strongly
  Disagree; 7 - Strongly Agree",,,,,,,,,,
31,7,I do work for my supervisor that goes beyond what is specified in my job description,LMX-MDM,,Follower,,,0.5,0.5,,,,,,1 - Strongly Disagree; 7 - Strongly Agree,,,,,,,,,,
32,8,I admire my supervisorÕs professional skills,LMX-MDM,,Follower,,,0.47,0.47,,,,,,1 - Strongly Disagree; 7 - Strongly Agree,,,,,,,,,,
33,9,"My supervisor defends my work actions to a superior, even without complete knowledge of the issue in question",LMX-MDM,,Follower,,,0.35,0.35,,,,,,1 - Strongly Disagree; 7 - Strongly Agree,,,,,,,,,,
34,10,My supervisor is a lot of fun to work with,LMX-MDM,,Follower,,,0.53,0.53,,,,,,1 - Strongly Disagree; 7 - Strongly Agree,,,,,,,,,,
35,11,"I am willing to apply extra efforts, beyond those normally required, to meet my supervisorÕs work goals",LMX-MDM,,Follower,,,0.4,0.4,,,,,,1 - Strongly Disagree; 7 - Strongly Agree,,,,,,,,,,
36,12,I am impressed with my supervisorÕs knowledge of his/her job,LMX-MDM,,Follower,,,0.52,0.52,,,,,,1 - Strongly Disagree; 7 - Strongly Agree,,,,,,,,,,
37,1,"I would seek help
  from my manager if I had a personal problem",Servant leadership,"Liden, Wayne, Zhao, & Handerson, 2008",Follower,,,0.485,,0.45,0.52,Unclassified,,,7-point Likert; Strongly disagree (1) to Strongly agree (7),Predictor,Positive,Abstract ,,Incomplete,,Incomplete,Incomplete,FALSE,FALSE
38,2,"My manager cares about my personal
  well-beingÊ",Servant leadership,,Follower,,,,,,,Unclassified,,,7-point Likert; Strongly disagree (1) to Strongly agree (7),Predictor,Positive,Concrete,,Incomplete,,Incomplete,Incomplete,FALSE,TRUE
